Al,As,B,Co,Cu,Fe,Ga,Ge,Ni,P,S,Sb,Se,Sn,Te,Ti,Tl,Y,Zr,shear_modulus
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,51.0,0.0,34.0,0.0,0.0,0.0,0.0,6.920000033333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,4.9199999666666665
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,5.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,5.5999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,10.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,6.757000033333334
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,20.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,7.858000049999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,22.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0,8.300000200000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,25.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,8.74399995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,0.0,8.47,0.0,0.0,76.27,0.0,0.0,0.0,0.0,0.0,0.0,5.5999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.25,0.0,16.95,0.0,0.0,67.8,0.0,0.0,0.0,0.0,0.0,0.0,5.6999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,84.0,0.0,0.0,0.0,0.0,0.0,0.0,27.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.5,0.0,0.0,0.0,0.0,83.5,0.0,0.0,0.0,0.0,0.0,0.0,5.170000099999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.666666666666668,0.0,0.0,63.333333333333336,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.440000099999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,28.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,0.0,20.0,63.33,0.0,0.0,0.0,0.0,0.0,0.0,7.400000049999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.67,0.0,0.0,83.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.8
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68,0.0,0.0,0.0,6.69,45.95,0.0,30.67,0.0,0.0,0.0,0.0,8.29
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68,0.0,0.0,0.0,6.69,76.62,0.0,0.0,0.0,0.0,0.0,0.0,6.5500001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.68,0.0,0.0,0.0,16.68,66.63,0.0,0.0,0.0,0.0,0.0,0.0,7.989999933333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.72,0.0,0.0,0.0,26.63,56.66,0.0,0.0,0.0,0.0,0.0,0.0,9.6099999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,0.0,82.5,0.0,0.0,0.0,0.0,0.0,0.0,5.2800002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,7.5,75.0,0.0,0.0,0.0,0.0,0.0,0.0,6.345499950000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,10.0,72.5,0.0,0.0,0.0,0.0,0.0,0.0,7.3240001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,15.0,67.5,0.0,0.0,0.0,0.0,0.0,0.0,7.527999900000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,0.0,0.0,20.0,62.5,0.0,0.0,0.0,0.0,0.0,0.0,8.059
0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.86,0.0,7.14,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.65
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,4.98
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,18.2,63.6,0.0,0.0,0.0,0.0,0.0,0.0,7.9699998999999995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.24,0.0,0.0,0.0,18.24,63.53,0.0,0.0,0.0,0.0,0.0,0.0,7.97
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,0.0,0.0,0.0,4.38,77.31999999999998,0.0,0.0,0.0,0.0,0.0,0.0,6.55
0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.75,0.0,0.0,0.0,17.5,63.75,0.0,0.0,0.0,0.0,0.0,0.0,8.0480003
0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.84,0.0,0.0,0.0,13.45,66.71,0.0,0.0,0.0,0.0,0.0,0.0,9.2299995
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,31.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,48.0,0.0,32.0,0.0,0.0,0.0,0.0,6.989999933333333
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,66.7,0.0,13.3,0.0,0.0,0.0,0.0,6.260000066666667
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,5.64923275
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,10.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0280000000000005
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,15.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,7.676000099999999
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,16.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,7.6999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,20.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0,8.689999866666666
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,8.0,0.0,0.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0,5.6999998
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,11.428571428571429,68.57142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.01
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,16.0,0.0,0.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.84,0.0,0.0,0.0,15.0,64.16,0.0,0.0,0.0,0.0,0.0,0.0,7.099999950000001
0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,9.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,6.8975
