As,B,Ga,Ge,Na,P,Pb,S,Sb,Se,Te,Tl,TEC
0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,227.33333333333334
0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,5.0,70.0,0.0,0.0,183.0
0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,10.0,65.0,0.0,0.0,153.375
0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,15.0,60.0,0.0,0.0,147.0
0.0,0.0,0.0,25.0,0.0,0.0,0.0,7.5,0.0,67.5,0.0,0.0,222.0
0.0,0.0,0.0,25.0,0.0,0.0,0.0,15.0,0.0,60.0,0.0,0.0,214.0
0.0,0.0,0.0,25.0,0.0,0.0,0.0,30.0,0.0,45.0,0.0,0.0,214.0
0.0,0.0,0.0,25.0,0.0,0.0,0.0,37.5,0.0,37.5,0.0,0.0,227.0
0.0,0.0,0.0,25.0,0.0,0.0,0.0,45.0,0.0,30.0,0.0,0.0,231.0
0.0,0.0,0.0,25.0,0.0,0.0,0.0,60.0,0.0,15.0,0.0,0.0,218.0
0.0,0.0,0.0,25.0,0.0,0.0,0.0,65.0,10.0,0.0,0.0,0.0,167.0
0.0,0.0,0.0,25.0,0.0,0.0,20.0,0.0,0.0,55.0,0.0,0.0,164.0
0.0,0.0,0.0,25.459999999999997,15.746666666666668,0.0,0.0,58.79333333333333,0.0,0.0,0.0,0.0,146.4855804
0.0,0.0,0.0,25.6,0.0,0.0,0.0,63.9,10.5,0.0,0.0,0.0,156.0
0.0,0.0,0.0,25.666666666666664,0.0,0.0,18.5,0.0,0.0,55.83333333333333,0.0,0.0,172.0
0.0,0.0,0.0,25.83,11.313333333333333,0.0,2.77,60.086666666666666,0.0,0.0,0.0,0.0,155.2672119
0.0,0.0,0.0,26.46,0.0,0.0,0.0,0.0,6.91,66.63,0.0,0.0,61.13000110000001
0.0,0.0,0.0,26.5,0.0,0.0,18.5,0.0,0.0,55.0,0.0,0.0,169.0
0.0,0.0,0.0,26.666666666666664,0.0,0.0,17.5,0.0,0.0,55.83333333333333,0.0,0.0,169.0
0.0,0.0,0.0,26.8,0.0,0.0,0.0,62.9,10.3,0.0,0.0,0.0,157.0
0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,13.0,60.0,0.0,0.0,131.09999845
0.0,0.0,0.0,27.0,0.0,0.0,0.0,67.7,5.3,0.0,0.0,0.0,182.0
0.0,0.0,0.0,27.0,0.0,0.0,16.5,0.0,0.0,56.0,0.0,0.0,163.5599976
0.0,0.0,0.0,27.0,0.0,0.0,17.0,0.0,0.0,56.0,0.0,0.0,142.4799957
0.0,0.0,0.0,27.0,0.0,0.0,19.0,0.0,0.0,54.0,0.0,0.0,171.0
0.0,0.0,0.0,27.449999999999992,0.0,0.0,0.0,65.48999999999998,7.06,0.0,0.0,0.0,152.0
0.0,0.0,0.0,27.5,0.0,0.0,17.5,0.0,0.0,55.0,0.0,0.0,171.0
0.0,0.0,0.0,27.5,0.0,0.0,17.5,55.0,0.0,0.0,0.0,0.0,152.09999845
0.0,0.0,0.0,27.766666666666666,0.0,4.771428571428571,0.0,67.46190476190476,0.0,0.0,0.0,0.0,185.0
0.0,0.0,0.0,27.775,0.0,0.0,16.665,0.0,0.0,55.55,0.0,0.0,155.0
0.0,0.0,0.0,27.916666666666664,0.0,0.0,16.25,0.0,0.0,55.83333333333333,0.0,0.0,164.0
0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,12.0,60.0,0.0,0.0,139.96666463333335
0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,15.0,57.0,0.0,0.0,134.0
0.0,0.0,0.0,28.183333333333334,0.0,0.0,15.45,0.0,0.0,56.366666666666674,0.0,0.0,162.0
0.0,0.0,0.0,28.333333333333332,0.0,0.0,0.0,65.66666666666666,6.0,0.0,0.0,0.0,152.0
0.0,0.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,19.0,52.0,0.0,170.0
0.0,0.0,0.0,29.0,0.0,0.0,16.0,0.0,0.0,55.0,0.0,0.0,167.0
0.0,0.0,0.0,29.166666666666664,0.0,0.0,0.0,50.83333333333333,0.0,0.0,0.0,20.0,66.6999969
0.0,0.0,0.0,29.166666666666664,0.0,0.0,15.0,0.0,0.0,55.83333333333333,0.0,0.0,155.0
0.0,0.0,0.0,29.17,0.0,0.0,0.0,0.0,5.0,65.83,0.0,0.0,150.0
0.0,0.0,0.0,29.63,0.0,0.0,0.0,65.926,4.444,0.0,0.0,0.0,149.0
0.0,0.0,0.0,29.67333333333333,0.0,3.1371428571428575,0.0,67.1895238095238,0.0,0.0,0.0,0.0,185.0
0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,70.0,0.0,0.0,185.0
0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,10.0,60.0,0.0,0.0,140.0
0.0,0.0,0.0,30.0,0.0,0.0,0.0,28.0,0.0,42.0,0.0,0.0,185.0
0.0,0.0,0.0,30.0,0.0,0.0,0.0,35.0,0.0,35.0,0.0,0.0,172.0
0.0,0.0,0.0,30.0,0.0,0.0,0.0,42.0,0.0,28.0,0.0,0.0,152.0
0.0,0.0,0.0,30.0,0.0,0.0,0.0,56.0,0.0,14.0,0.0,0.0,178.0
0.0,0.0,0.0,30.0,0.0,0.0,0.0,66.0,4.0,0.0,0.0,0.0,149.0
0.0,0.0,0.0,30.0,0.0,0.0,0.0,70.0,0.0,0.0,0.0,0.0,147.0
0.0,0.0,0.0,30.0,0.0,0.0,15.0,0.0,0.0,55.0,0.0,0.0,161.0
0.0,0.0,0.0,30.0,0.0,2.857142857142857,0.0,67.14285714285714,0.0,0.0,0.0,0.0,158.0
0.0,0.0,0.0,30.0,0.0,10.0,0.0,60.0,0.0,0.0,0.0,0.0,150.0
0.0,0.0,0.0,30.666666666666664,0.0,0.0,13.5,0.0,0.0,55.83333333333333,0.0,0.0,172.0
0.0,0.0,0.0,30.73,0.0,0.0,0.0,0.0,11.01,58.26,0.0,0.0,149.0
0.0,0.0,0.0,30.74,0.0,0.0,0.0,0.0,11.18,58.08,0.0,0.0,158.0
0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,7.92,61.08,0.0,0.0,158.0
0.0,0.0,0.0,31.2,0.0,1.8285714285714287,0.0,66.97142857142858,0.0,0.0,0.0,0.0,158.0
0.0,0.0,0.0,31.5,0.0,0.0,13.5,0.0,0.0,55.0,0.0,0.0,158.0
0.0,0.0,0.0,31.58,0.0,0.0,0.0,66.316,2.104,0.0,0.0,0.0,132.0
0.0,0.0,0.0,31.666666666666664,0.0,0.0,12.5,0.0,0.0,55.83333333333333,0.0,0.0,176.0
0.0,0.0,0.0,31.666666666666668,0.0,0.0,0.0,66.33333333333334,2.0,0.0,0.0,0.0,132.0
0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,5.0,63.0,0.0,0.0,140.0
0.0,0.0,0.0,32.0,0.0,0.0,0.0,0.0,10.0,58.0,0.0,0.0,130.0
0.0,0.0,0.0,32.5,0.0,0.0,0.0,0.0,0.0,22.5,45.0,0.0,162.0
0.0,0.0,0.0,32.5,0.0,0.0,12.5,0.0,0.0,55.0,0.0,0.0,157.0
0.0,0.0,0.0,32.916666666666664,0.0,0.0,11.25,0.0,0.0,55.83333333333333,0.0,0.0,172.0
0.0,0.0,0.0,33.3,0.0,0.0,0.0,66.7,0.0,0.0,0.0,0.0,61.0
0.0,0.0,0.0,33.33,0.0,0.0,0.0,0.0,0.0,33.33,33.33,0.0,145.0
0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,53.333333333333336,0.0,0.0,0.0,13.333333333333334,67.9000015
0.0,0.0,0.0,33.333333333333336,0.0,0.0,0.0,66.66666666666667,0.0,0.0,0.0,0.0,130.0
0.0,0.0,0.0,33.5,0.0,0.0,11.5,0.0,0.0,55.0,0.0,0.0,154.0
0.0,0.0,0.0,33.5,0.0,0.0,11.5,55.0,0.0,0.0,0.0,0.0,145.75
0.0,0.0,0.0,33.6,0.0,0.0,0.0,0.0,0.0,66.4,0.0,0.0,56.38000110000001
0.0,0.0,0.0,33.8,0.0,0.0,0.0,66.2,0.0,0.0,0.0,0.0,135.0
0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,0.0,65.0,0.0,0.0,130.0
0.0,0.0,0.0,35.0,0.0,0.0,0.0,0.0,5.0,60.0,0.0,0.0,128.66666666666666
0.0,0.0,0.0,35.0,0.0,0.0,10.0,0.0,0.0,55.0,0.0,0.0,149.0
0.0,0.0,0.0,35.0,0.0,5.0,0.0,60.0,0.0,0.0,0.0,0.0,130.0
0.0,0.0,0.0,35.52000000000001,0.0,0.0,0.0,64.48,0.0,0.0,0.0,0.0,120.0
0.0,0.0,0.0,36.36,0.0,0.0,0.0,63.64,0.0,0.0,0.0,0.0,120.0
0.0,0.0,0.0,37.5,0.0,0.0,0.0,55.833333333333336,0.0,0.0,0.0,6.666666666666667,69.6999969
0.0,0.0,0.0,37.5,0.0,0.0,7.5,0.0,0.0,55.0,0.0,0.0,142.0
0.0,0.0,0.0,38.1,0.0,0.0,0.0,61.9,0.0,0.0,0.0,0.0,110.0
0.0,0.0,0.0,39.25,0.0,0.0,5.75,55.0,0.0,0.0,0.0,0.0,129.75
0.0,0.0,0.0,39.43000000000001,0.0,0.0,2.44,0.0,0.0,58.13,0.0,0.0,134.0
0.0,0.0,0.0,39.7,0.0,0.0,0.0,0.0,0.0,60.3,0.0,0.0,133.0
0.0,0.0,0.0,39.8,0.0,0.0,0.0,0.0,0.0,60.2,0.0,0.0,134.0
0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,0.0,135.0
0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0,133.5
0.0,0.0,0.0,40.0,0.0,0.0,0.0,6.0,0.0,54.0,0.0,0.0,126.0
