As,Ge,In,Pb,S,Sb,Se,Te,thermal_conductivity
34.4,0.0,0.0,0.0,65.6,0.0,0.0,0.0,3400000000.0000005
35.0,0.0,0.0,0.0,65.0,0.0,0.0,0.0,3860000000.0
38.0,0.0,0.0,0.0,62.0,0.0,0.0,0.0,3910000000.0
38.84,0.0,0.0,0.0,50.85,0.0,0.0,10.31,3210000000.0
39.604,0.0,0.99,0.0,0.0,0.0,59.406000000000006,0.0,2300000000.0
39.7,0.0,0.0,0.0,60.3,0.0,0.0,0.0,3100000000.0
40.0,0.0,0.0,0.0,0.0,0.0,12.0,48.0,3600000000.0
40.0,0.0,0.0,0.0,0.0,0.0,14.0,46.0,20099999999.999996
40.0,0.0,0.0,0.0,0.0,0.0,18.0,42.0,4000000000.0
40.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,13700000000.000002
40.0,0.0,0.0,0.0,0.0,0.0,24.0,36.0,3600000000.0
40.0,0.0,0.0,0.0,0.0,0.0,26.0,34.0,10400000000.0
40.0,0.0,0.0,0.0,0.0,0.0,30.0,30.0,8410000000.0
40.0,0.0,0.0,0.0,0.0,0.0,40.0,20.0,10500000000.0
40.0,0.0,0.0,0.0,0.0,0.0,42.0,18.0,4000000000.0
40.0,0.0,0.0,0.0,0.0,0.0,46.0,14.0,18300000000.0
40.0,0.0,0.0,0.0,0.0,0.0,48.0,12.0,4050000000.0
40.0,0.0,0.0,0.0,6.0,0.0,54.0,0.0,4700000000.0
40.0,0.0,0.0,0.0,12.0,0.0,0.0,48.0,2400000000.0
40.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,4000000000.0
40.0,0.0,0.0,0.0,54.0,0.0,6.0,0.0,4400000000.0
40.0,35.0,0.0,0.0,25.0,0.0,0.0,0.0,3905000000.0
43.1,0.0,0.0,0.0,56.9,0.0,0.0,0.0,3479999999.9999995
43.2,0.0,0.0,0.0,56.8,0.0,0.0,0.0,3720000000.0000005
44.1,0.0,0.0,0.0,55.9,0.0,0.0,0.0,3730000000.0
50.0,0.0,0.0,0.0,0.0,0.0,5.0,45.0,35500000000.0
50.0,0.0,0.0,0.0,0.0,0.0,15.0,35.0,21700001000.000004
50.0,0.0,0.0,0.0,0.0,0.0,25.0,25.0,10800000000.0
50.0,0.0,0.0,0.0,0.0,0.0,30.0,20.0,15400000000.0
55.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,1330000000.0
57.14,0.0,0.0,0.0,0.0,0.0,35.71,7.14,23800001000.0
