,y_pr,y_ac
238,338.59085,369.15
239,378.58737,378.15
240,778.5783,775.0
241,631.2629,638.15
242,454.22403,446.15
243,394.1187,389.65
244,350.6142,377.15
245,457.04282,455.15
246,341.73535,346.72000031000005
247,530.5019,528.075
248,457.76144,450.15
249,412.68137,361.075
250,475.7441,473.075
251,424.81305,420.075
252,534.18225,534.15
253,415.57123,383.15
254,414.14813,415.975
255,697.1638,702.15
256,688.7079,694.15
257,613.4076,602.15
258,513.77106,511.15
259,683.1074,682.575
260,490.24292,495.15
261,636.42523,613.0
262,324.95566,308.15
263,646.26544,658.09
264,339.20346,331.3500008
265,378.35263,367.15
266,663.9031,661.15
267,387.21082,393.15
268,522.40936,524.15
269,474.09656,489.0
270,331.92923,345.15
271,492.7679,470.15
272,347.8418,361.7499985
273,431.39944,446.325
274,340.52225,335.15
275,635.5058,643.15
276,806.1577,806.0
277,672.2165,618.15
278,815.01526,812.4
279,534.6533,528.0
280,392.8059,391.0
281,554.60077,583.075
282,490.04968,461.15
283,704.66675,688.15
284,424.9079,403.0
285,386.47778,369.15
286,571.3613,583.15
287,644.431,641.15
288,437.92868,453.05
289,484.25583,505.125
290,511.44827,503.075
291,770.4822,673.0
292,473.73773,435.15
293,421.4983,435.15
294,517.0416,494.075
295,496.8151,480.15
296,561.46045,554.15
297,686.32196,687.1071428571429
298,534.8525,559.075
299,454.60312,456.0
300,735.06036,745.0
301,402.04163,409.15
302,458.7496,489.15
303,536.90735,496.15
304,403.0632,398.15
305,361.0517,398.0
306,515.01154,526.15
307,498.42902,493.15
308,356.40225,363.15
309,505.4098,513.15
310,397.59125,385.075
311,491.03622,485.15
312,725.2542,737.0
313,514.1401,468.075
314,408.57513,418.15
315,628.268,620.0
316,696.1916,695.15
317,447.41415,453.15
318,504.33566,536.0
319,349.45413,333.15
320,355.10968,369.075
321,515.5082,518.15
322,457.928,457.15
323,490.43668,540.15
324,389.71732,383.15
325,519.5734,536.15
326,410.77512,408.15
327,441.4743,464.15
328,456.74164,482.0
329,460.94904,424.15
330,590.8614,595.15
331,749.1358,740.0
332,631.519,638.15
333,740.0157,768.0
334,448.5553,446.15
335,649.15704,665.0
336,400.11316,392.15
337,608.38635,598.15
338,587.54285,597.0
339,416.4758,413.15
340,497.67227,488.15
341,428.46054,415.25
342,454.5827,449.075
343,658.3408,656.0500000000001
344,539.9468,554.15
345,320.10776,316.65
346,406.42093,402.575
347,351.14853,306.6
348,571.4933,566.075
349,631.189,651.15
350,411.72876,399.15
351,544.5231,528.075
352,531.84357,530.0
353,433.16412,431.15
354,461.38608,455.0
355,593.04694,572.15
356,337.06842,349.9166677
